age,workclass,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,salary
39,7,13,4,1,1,4,1,2174,0,40,
50,6,13,2,4,0,4,1,0,0,13,
38,4,9,0,6,1,4,1,0,0,40,
53,4,7,2,6,0,2,1,0,0,40,
28,4,13,2,10,5,2,0,0,0,40,
37,4,14,2,4,5,4,0,0,0,40,
49,4,5,3,8,1,2,0,0,0,16,
52,6,9,2,4,0,4,1,0,0,45,
31,4,14,4,10,1,4,0,14084,0,50,
42,4,13,2,4,0,4,1,5178,0,40,
37,4,10,2,4,0,2,1,0,0,80,
30,7,13,2,10,0,1,1,0,0,40,
23,4,13,4,1,3,4,0,0,0,30,
32,4,12,4,12,1,2,1,0,0,50,
40,4,11,2,3,0,1,1,0,0,40,
34,4,4,2,14,0,0,1,0,0,45,
25,6,9,4,5,3,4,1,0,0,35,
32,4,9,4,7,4,4,1,0,0,40,
38,4,7,2,12,0,4,1,0,0,50,
43,6,14,0,4,4,4,0,0,0,45,
40,4,16,2,10,0,4,1,0,0,60,
54,4,9,5,8,4,2,0,0,0,20,
35,1,5,2,5,0,2,1,0,0,40,
43,4,7,2,14,0,4,1,0,2042,40,
59,4,9,0,13,4,4,0,0,0,40,
56,2,13,2,13,0,4,1,0,0,40,
19,4,9,4,3,3,4,1,0,0,40,
54,0,10,2,0,0,1,1,0,0,60,
39,4,9,0,4,1,4,1,0,0,80,
49,4,9,2,3,0,4,1,0,0,40,
23,2,12,4,11,1,4,1,0,0,52,
20,4,10,4,12,3,2,1,0,0,44,
45,4,13,0,4,3,4,1,0,1408,40,
30,1,10,2,1,3,4,1,0,0,40,
22,7,10,2,8,0,2,1,0,0,15,
48,4,7,4,7,4,4,1,0,0,40,
21,4,10,4,7,3,4,1,0,0,40,
19,4,9,1,1,5,4,0,0,0,25,
31,4,10,2,12,0,4,1,0,0,38,
48,6,12,2,10,0,4,1,0,0,40,
31,4,5,2,7,0,4,1,0,0,43,
53,6,13,2,10,0,4,1,0,0,40,
24,4,13,2,13,0,4,1,0,0,50,
49,4,9,5,1,4,4,0,0,0,40,
25,4,9,4,6,1,4,1,0,0,35,
57,1,13,2,10,0,2,1,0,0,40,
53,4,9,2,7,0,4,1,0,0,38,
44,4,14,0,4,4,4,0,0,0,40,
41,7,11,2,3,0,4,1,0,0,40,
29,4,11,4,10,1,4,1,0,0,43,
25,4,10,2,4,5,3,0,0,0,40,
18,4,9,4,8,3,4,0,0,0,30,
47,4,15,2,10,5,4,0,0,1902,60,
50,1,13,0,4,1,4,1,0,0,55,
47,5,9,0,4,1,4,1,0,0,60,
43,4,10,2,13,0,4,1,0,0,40,
46,4,3,2,7,0,4,1,0,0,40,
35,4,11,2,8,0,4,1,0,0,40,
41,4,9,2,1,0,4,1,0,0,48,
30,4,9,2,7,0,4,1,5013,0,40,
30,4,13,2,12,0,4,1,2407,0,40,
32,0,4,3,0,1,4,1,0,0,40,
48,4,9,2,14,0,4,1,0,0,40,
42,4,16,2,10,0,4,1,0,0,45,
29,4,10,0,13,1,4,1,0,0,58,
36,4,9,2,3,0,4,1,0,0,40,
28,4,10,0,1,1,4,0,0,0,40,
53,4,9,2,1,5,4,0,0,0,40,
49,5,10,2,4,0,4,1,0,0,50,
25,0,10,4,0,3,4,1,0,0,40,
19,4,10,4,10,3,4,1,0,0,32,
31,4,13,5,12,3,2,0,0,0,40,
29,6,13,2,12,0,4,1,0,0,70,
23,4,10,4,7,1,4,1,0,0,40,
79,4,10,2,10,2,4,1,0,0,20,
27,4,9,4,8,3,4,1,0,0,40,
40,4,12,2,1,0,4,1,0,0,40,
67,0,6,2,0,0,4,1,0,0,2,
18,4,7,4,8,3,4,0,0,0,22,
31,2,4,2,5,0,4,1,0,0,40,
18,4,9,4,12,1,4,1,0,0,30,
52,4,13,2,8,0,4,1,0,0,40,
46,4,9,2,8,5,4,0,0,0,40,
59,4,9,2,12,0,4,1,0,0,48,
44,4,9,0,3,1,4,0,14344,0,40,
53,4,9,0,12,3,4,0,0,0,35,
49,2,9,2,11,0,4,1,0,0,40,
33,4,14,2,10,0,4,1,0,0,50,
30,4,5,4,12,1,4,1,0,0,40,
43,1,16,4,10,1,4,0,0,0,50,
57,4,11,2,10,0,4,1,0,0,40,
37,4,10,0,3,4,4,0,0,0,40,
28,4,10,0,7,4,2,0,0,0,25,
30,4,9,2,12,5,1,0,0,1573,35,
34,2,13,2,11,0,4,1,0,0,40,
29,2,10,4,6,1,4,1,0,0,50,
48,6,16,2,10,0,4,1,0,1902,60,
37,4,10,2,12,0,4,1,0,0,48,
48,4,12,0,4,4,4,0,0,0,40,
32,1,9,4,8,3,2,1,0,0,40,
76,4,14,2,4,0,4,1,0,0,40,
44,4,13,2,4,0,4,1,15024,0,60,
47,6,14,4,10,1,4,0,0,0,50,
20,4,10,4,13,3,4,0,0,0,40,
29,4,9,4,3,1,4,1,0,0,40,
32,5,9,2,3,0,4,1,7688,0,40,
17,0,6,4,0,3,4,0,34095,0,32,
30,4,7,4,6,3,4,1,0,0,40,
31,2,9,4,1,1,4,0,0,0,40,
42,4,9,2,6,0,4,1,0,0,40,
24,4,13,4,12,2,4,1,0,0,40,
38,4,15,2,10,0,4,1,0,0,40,
56,6,9,2,8,0,4,1,0,1887,50,
28,4,10,2,12,5,4,0,4064,0,25,
36,4,9,4,7,3,4,0,0,0,40,
53,4,5,2,6,0,4,1,0,0,50,
56,5,10,2,12,0,4,1,0,0,50,
49,2,11,2,3,0,2,1,0,0,40,
55,4,10,2,12,0,4,1,0,0,56,
22,4,9,4,3,1,4,1,0,0,41,
21,4,10,4,8,3,4,0,0,0,40,
40,4,13,2,4,0,4,1,0,0,60,
30,4,13,4,4,3,2,1,0,0,40,
29,7,13,2,10,0,4,1,0,0,50,
19,4,10,4,8,3,2,1,0,0,35,
47,4,13,2,4,5,4,0,0,0,40,
20,4,10,4,1,3,4,0,0,1719,28,
31,4,12,2,1,0,4,1,0,0,40,
35,0,9,2,0,0,4,1,0,0,40,
39,4,10,0,3,1,4,1,0,0,40,
28,4,12,4,12,1,4,0,0,0,60,
24,4,9,4,8,1,4,0,0,1762,40,
38,6,9,2,3,0,4,1,4386,0,35,
37,4,13,2,12,0,4,1,0,0,50,
46,4,12,0,13,1,2,0,0,0,36,
